date	sha	title
2025-01-13	ddcf14f01b30c2554188d7d738c35b15fc43a5a8	basicadjust.php modified re links to bhagavata purana. LB > skandhas 1-9 use bhagp_bur, and 10-12 to bhagp_bom.  This applies to LB > dictionaries pwg, pw, sch, and mw. LB > Ref: https://github.com/sanskrit-lexicon/PWG/issues/81
2025-01-13	623e172c9a12cb4b960eeeb5abb48241b5488428	correct bug in listhierClass.php when a non-existent word entered; for the 'slp1,...' LB  choice of 'input'
2024-12-10	3ff79b065f408f928fab52695225d86dda867d9c	basicadjust.php for sch references, corrected. Also Bhag.P. LB Ref: https://github.com/sanskrit-lexicon/SCH/issues/10
2024-12-08	c6fdd4a5f7acb6bea1bdcc8d4af4c9a17838f9e1	SCH, etc. links for 'Bhāg. P.' LB Ref: https://github.com/sanskrit-lexicon/SCH/issues/110
2024-11-15	96650d4458deeb41f06b9943d739201fdd36e91e	minor change to readme_jquery.txt after upgrade to 3.5.0.
2024-11-15	650a6e88e5d8acbf6526a85875b1b063628b61d1	#40  jquery 3.5.0
2024-11-15	e70d9a9afe0ef09d1c6fd0b3290ec6169f84d528	Hariv. link references missing. LB Ref: https://github.com/sanskrit-lexicon/PWG/issues/80
2024-11-15	10061f943a76ce378ae8d3f7a389181ddb3befa7	MW page links for <col>X</col> tags. LB Ref: https://github.com/sanskrit-lexicon/MWS/issues/64   'col link'
2024-11-14	2c88679e5b89de18cf1560f5d46cf0588a9eb342	Revise page links, hoping to avoid 'click to load pdf' messages. LB Ref: https://github.com/sanskrit-lexicon/MWS/issues/64#issuecomment-2474787451 2nd try
2024-11-14	b264be3309feb47d480aac2b5a90fd2fac65450d	Revise page links, hoping to avoid 'click to load pdf' messages. LB Ref: https://github.com/sanskrit-lexicon/MWS/issues/64#issuecomment-2474787451
2024-11-14	85736c780f366a0e7bae475061c0b38fd9407714	MW: Links for page references. LB Ref: https://github.com/sanskrit-lexicon/MWS/issues/64#issuecomment-2474787451
2024-11-12	fabe43572cabc4debf210619405c70271992cbe9	#39 clickable link for rev (page,col)
