date	sha	title
2024-01-04	659e0a691ca0c55650f0b2d92638b94867e7b925	VCP till 8650
2024-01-04	85b3a95069e7fa73b83cc216be5ed13aa7c9ceca	VAC regen after 500 pages
2024-01-04	979b9ad586a6c1b151eba311e0ae86a750952387	VAC-VCP500
2022-02-13	562b774946aa4de72b36bd0163ba96a8b6f5f806	a trial for script
2022-02-13	0a296b7cf92ab0d8384895cd863c69080df9eee4	vcp2_split regen
2022-02-13	338d702b0b4a8091b93c99d32613b0cbb748f2d2	vac-vcp-cmp2/vcp2.txt file stripped of <>
2022-02-13	91daf295a0a5bdcbed02b2c06ae5ec82595fd17d	VAC VCP till 8500
2022-02-13	03a8d9d426447b78c582825448741c51bf0e4415	readme added
2022-02-13	58a2e1759278009ea5a17d7598d0f798177e3052	split files
2022-02-13	c0d44135d3ad18ff486ab92983c3686cf6b3907a	removed unnecessary
2022-02-13	11d769964f9096833077b24888e4e2c0377df960	VAC VCP till 8000
2022-02-13	ef7bf183c4a12e68ddcd81e25049333067c014c7	reorg
2022-02-13	903cb8b182f7808b875a703dc8bed0ec1a41e5fa	0-7500 removed
2022-02-13	d5ea548aa01a93c7c17d33c839e5b985aa61cd8f	VAC VCP 7500
2022-02-13	21c0f31fc2e94f219c457efdcfd87090420ff125	vac-vcp-cmp2/vac2.txt corrected till 7500
2022-02-13	1187f373163108a506499bae29397d97d63df461	vac-vcp-cmp2/vcp2.txt corrected till 7500
2022-02-13	4e63ce666a7901a6beda04956cb6b4f395db419e	VCP corrected till 7500
2022-02-13	7be686e2420971ddba46673f71cbef3baaec1518	<> removed from vcp_corrected_file.txt
2022-02-13	d0c5c555a2e22bf092515163256e60a5bf6e4250	VAC VCP 7850
2022-02-12	883c1a747634dc2b02f66a0cf4cfd24084d73c5f	VAC VCP 7800
2022-02-12	d31176fe983bf8bebf27b54522641e95e00948f5	VAC VCP 7750
2022-02-12	3c98a7f894c22e473e1e77c7da704c58b4dbe12f	correction started in devanagari. 7700 lines
2021-09-07	41ef0a7349b29ca4d3947c8156503b9b809efab3	VAC VCP 7500
2021-08-20	21edac81a630b92b3746e37ec35297e259617a3d	VAC VCP 7000
2021-08-20	c5f8e96d436cdda56bc642b8aa89e0e9b4e7380b	VAC VCP line 7000
2021-08-20	c8c1d14318bbb63abd3bb111a88a7bf6e0954766	VAC VCP line 6500
2021-08-20	4240e8b43be37b44793f953cec031d67fa39afad	VAC VCP line 6000
2021-08-20	c085507643ab2b7930d9c82a6e559682ef643498	VAC VCP line 5550
2021-08-15	df4a4b02225fc7eb11fda21723aff257c7ab0c8b	VAC VCP line 5000
2021-08-15	a3d58ddc8d62112a4505ab04fdf2d67066af9163	VAC VCP line 4000
2021-08-15	5ff03a5a4ba347335de8b9bff7ddc4aac54a554f	VAC VCP 3600
2021-08-14	1e7d78856609fbb4c0f6716685a842aedc0e03c0	VAC VCP 3300
