date	sha	title
2024-01-17	2cdd3d2a3682dde99130a9ef3adc410e4dd64f3c	production regen on 17 Jan 2024
2024-01-17	578b295f7bd80f63ad2674bb0a3b460727ee3c30	regen on 17 Jan 2024
2023-06-16	ffb5ec0b94183efcf49111a1ab2403ea08f40745	production regen on 16 June 2023
2023-06-16	fd3b54254ccd5178d82c513bd8d3c64debb2ee3b	close #37
2023-06-16	b12bbcf4469c0570e4bc45c8e9adc1fe1ba84c49	LRV added
2023-06-16	196dfc6b1b3f545a7fae3e0a6433c4b85552abe5	SKD regen
2023-06-16	7d527fb3cb62f635231f9384bd3cb0c35a27dcd6	sup added
2023-06-16	60800810533aaa7212e3171c084d72a4ef681bf4	SCH regen
2023-06-16	49243b1b8dcb2bb468024846ebe27b28c0988128	ACC regen
2023-06-16	2093d3402aef74ae900615a62a50cef76cac203e	AE regen
2023-06-16	e2ca95cd0868d46f954b37818c550200db96902e	AP90 regen
2023-06-16	b5db80173d59b777557d0260786259fe8f09a003	ARMH regen
2023-06-16	5aea067003a7def6e9feb01b513edf0625cf89d3	BEN regen
2023-06-16	92f126d1eb3b4f30383e2d7c69f8e481c05908c0	BOR BUR regen
2023-06-16	60f4a7b13e6dc7d96106238c681c3a0bb111c312	CAE CCS regen
2023-06-16	720afbb02fd345d228c037d836a66a2285591533	GST regen
2023-06-16	e752ead7ccd678348dc180f85f13617777b37ab8	KRM regen
2023-06-16	f6f4fe4dadd41190e29003ed0de99c1caecfe530	MCI regen
2023-06-16	228235f0810df1e1accb0bb963412429c906b2f5	MD regen
2023-06-16	37004978f63e5b13139907810905f89ff782256e	MW regen
2023-06-16	6ac8bf5f1270dcc1d4db05759e83cb3c903b0cab	MW72 regen
2023-06-16	e141a7cb7b94f01775cc5ca2981f28f7e07dd3ec	PE MWE regen
2023-06-16	2b812a72ef20a5640f15f99be44b55452eda6655	PGN regen
2023-06-16	1ca6e91be02d2d335ccd454f19df6bf09c2f8cf7	close #36
2023-06-16	d14087cd68dc833259cff0234557c54f8b4ba081	PW regen
2023-06-16	91efe3f733a2a1be927f5e42b8f9fcaffd7b6dfd	PWG regen
2023-06-16	ef409ee7ff7c352afcfb3e89efa42770d6350a15	SHS regen
2023-06-16	7d61fb4d7548f7e8af98eec8cce0851708d9b879	SNP regen
2023-06-16	e993e3d6d3224e5264c3cc20af5b2311fc34216a	STC regen
2023-06-16	ed5a3ede6252fe07ba5529334a10dfb6a4d07187	VCP regen after https://github.com/sanskrit-lexicon/csl-orig/issues/1240
