date	sha	title
2022-02-18	11a7e517ff7926fb12b1fd1e190488ea5e390240	mw72 corrected by Andhrabharati
2022-02-18	cf96895ac024a77d64620abc5d67e40819b0af86	ben ls added. ap90 copied
2022-02-17	343bd5802cf81b9da719968124aa9361f19311ba	MW72 completed
2022-02-17	7ee967ad4a819c93a2138adab8e5f0a0098ab8c9	MW72 completed
2022-02-17	f5c13a95e48700f21a2d380d67fbdf5baeb84756	MW72 completed
2022-02-17	5df5d456864055a809c106f6fbf70c9790a15a1d	MW72 95
2022-02-17	b27a41ce9dae411a52a300f2b1f6f1f884ccb68f	MW72 85
2022-02-17	ff87e577ac503f03fd77ebf354f5d03aa69da9f9	MW72 75
2022-02-17	da6cef40d3f7b4d692535131cb250d125a037caa	MW72 65
2022-02-17	bfbcece0ad88badd06e3081573dfc742624eadc0	MW72 60
2022-02-17	a070330b73f0cad3bcb6a6539a489856344ae3fa	MW72 55
2022-02-17	dddf2916f6c1ca8b6b0007ed474111ae6b05c4de	MW72 50
2022-02-17	7adc27af9fa9c6d3384fa19fae281cdfdbd42d63	MW72 41
2022-02-17	c4d9cae9ace58811549a6a6098d9f032c69d5556	MW72 41
2022-02-17	1322a2590c4e860804dc6721b610a06208733942	MW72 35
2022-02-17	5c45fafccfe693fd87e941f48c30d79dcfb1624f	MW72 31
2022-02-17	01b944ac718fdf7aaa4f5e5787d49e9fedbad0ba	MW72 31
2022-02-17	409ebeda983dab922213024443b6d76d13a40e57	MW72 26
2022-02-17	82b3c0bf6b74ad9b9f9006c11f63c18c6b529f5f	MW72 16
2022-02-17	416a28aa3448db40a2fd0340b90ca117b10a379c	mw72 small edit
2022-02-17	4e974e191ab85f9d6d28d9ef55c9197dcef40555	tsv
2022-02-15	4b9f48e61e3665131453f0f1baf2f69e185f8b41	readme init
2022-02-14	645fc9a2cbb7c8262ff21a759f8e344e324d6dd1	mw72 init
2022-02-14	ffb14d9add68e8e3360d1e4ec524cd585a15c7bf	PWG ls statistics as on 14 Feb 2022
2022-02-12	29780111536ba89ca457b5c86f4a150c496f2ff5	initial commit based on csl-pywork
